,name,github_id,pypi_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id
16,psrdada-python,TRASAL/psrdada-python,,['python'],I/O,True,https://trasal.github.io/psrdada-python/index.html,https://github.com/TRASAL/psrdada-python,,2018-05-07 09:23:43,2020-11-17 12:34:00,2020-11-17 12:33:52,3.0,,1.0,3.0,51.0,2020-07-14 12:16:50,0.1.0,2.0,Python bindings to the PSRDada ringbuffer implementation.,,,4.0,8,,,,,,3,,
17,sigpyproc3,FRBs/sigpyproc3,,"['python', 'cpp']",I/O,True,https://sigpyproc3.readthedocs.io,https://github.com/FRBs/sigpyproc3,,2020-04-16 17:23:05,2021-02-25 12:54:41,2020-12-13 18:12:09,1.0,4.0,2.0,1.0,109.0,2020-11-18 03:45:18,0.5.0,3.0,Python3 version of Ewan Barr's sigpyproc library.,,,8.0,8,,,,,,3,,
18,frbcat,davidgardenier/frbcat,,['python'],catalog,True,https://github.com/davidgardenier/frbcat,https://github.com/davidgardenier/frbcat,MIT,2020-02-19 15:03:56,2020-11-29 16:14:19,2020-11-29 16:14:18,1.0,3.0,,12.0,32.0,,,,Query Fast Radio Burst catalogues.,1.0,1.0,,7,,,,,,2,,
19,DM_Phase,danielemichilli/DM_phase,,['python'],analysis,True,https://github.com/danielemichilli/DM_phase,https://github.com/danielemichilli/DM_phase,GPL-3.0,2019-01-25 18:16:49,2020-12-14 18:55:35,2020-07-09 18:51:30,1.0,,5.0,6.0,26.0,,,,Tool to calculate the best dispersion measure for a burst using phase information.,,,3.0,7,,,,,,3,,
20,RFIm,TRASAL/RFIm,,['cpp'],rfi,True,https://github.com/TRASAL/RFIm,https://github.com/TRASAL/RFIm,Apache-2.0,2019-01-11 12:04:09,2020-11-17 13:05:51,2020-11-17 12:35:14,2.0,3.0,3.0,1.0,196.0,2020-07-29 12:27:29,1.0,1.0,Radio Frequency Interference (RFI) mitigation algorithms.,,,6.0,7,,,,,,3,,
21,pygedm,FRBs/pygedm,,"['cpp', 'Fortran', 'python']",analysis,True,https://pygedm.readthedocs.io,https://github.com/FRBs/pygedm,,2019-02-17 13:02:21,2020-06-28 09:57:45,2020-06-28 09:57:29,3.0,1.0,2.0,17.0,137.0,,,,"Python bindings for YMW16, NE2001 and YT2020 electron density models.",,,6.0,6,,,,,,3,,
22,frbpa,KshitijAggarwal/frbpa,,['python'],analysis,True,https://github.com/KshitijAggarwal/frbpa,https://github.com/KshitijAggarwal/frbpa,BSD-3-Clause,2020-05-26 21:36:21,2020-08-21 17:30:27,2020-08-21 17:30:26,2.0,2.0,1.0,5.0,53.0,,,,FRB Periodicity Analysis.,,,2.0,6,,,,,,3,,
23,simpulse,kmsmith137/simpulse,,"['cpp', 'python']",Injection,True,https://github.com/kmsmith137/simpulse,https://github.com/kmsmith137/simpulse,,2016-06-08 17:18:15,2020-07-10 20:34:00,2019-12-25 23:58:19,5.0,,,5.0,70.0,,,,C++/python library for simulating FRB's and pulsars.,,,5.0,6,,,,,,1,,
24,dfdt,zpleunis/dfdt,,['python'],analysis,True,https://github.com/zpleunis/dfdt,https://github.com/zpleunis/dfdt,BSD-3-Clause,2020-09-18 01:48:08,2021-02-12 00:15:08,2020-09-25 16:05:27,,,,4.0,,,,,Linear drift rate measurements for fast radio bursts.,,,,6,,,,,,3,,
25,FRB hosts,FRBs/FRBhostpage,,"['HTML', 'JS']",catalog,True,https://frbhosts.org/,https://github.com/FRBs/FRBhostpage,,2020-03-27 14:12:50,2021-01-19 09:41:01,2020-09-23 09:53:23,1.0,,,,210.0,,,,Hosting for the FRB host webpage.,,,5.0,6,,,,,,3,,
26,PreFRBLE,FRBs/PreFRBLE,,['python'],popsynth,True,https://github.com/FRBs/PreFRBLE,https://github.com/FRBs/PreFRBLE,,2019-02-17 22:20:43,2020-10-16 10:10:17,2020-10-16 10:09:10,,,,4.0,167.0,2020-05-28 14:02:00,1.0,1.0,PrEFRBLE: Probability Estimates for Fast Radio Burst to obtain model Likelihood Estimates.,,,2.0,5,,,,,,3,,
27,astropath,FRBs/astropath,,['python'],analysis,True,https://github.com/FRBs/astropath,https://github.com/FRBs/astropath,BSD-3-Clause,2020-12-15 19:40:33,2021-02-24 19:09:53,2021-02-23 14:59:46,,,,3.0,,,,,,,,3.0,5,,,,,,3,1.0,
28,SPANDAK,gajjarv/PulsarSearch,,['python'],Search,True,https://github.com/gajjarv/PulsarSearch,https://github.com/gajjarv/PulsarSearch,,2016-09-12 18:12:17,2020-08-14 23:02:35,2020-08-14 23:02:25,5.0,,,4.0,135.0,,,,,,,2.0,4,,,,,,3,,
29,Furby,vg2691994/Furby,,['python'],Injection,True,https://github.com/vg2691994/Furby,https://github.com/vivgastro/Furby,,2019-02-20 15:39:21,2020-05-28 04:31:09,2020-05-28 04:30:56,2.0,,,3.0,32.0,,,,Mock FRB generator.,,,2.0,4,,,,,,3,,vivgastro/Furby
30,FRB.software,FRBs/FRBs.github.io,,[''],catalog,True,https://frb.software/,https://github.com/FRBs/FRBs.github.io,,2020-07-15 14:30:29,2020-07-28 12:55:19,2020-07-28 12:55:13,1.0,,,2.0,47.0,,,,FRB Community Software site.,,,4.0,4,,,,,,3,,
31,heimdall,pravirkr/heimdall,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/pravirkr/heimdall,https://github.com/pravirkr/heimdall,GPL-3.0,2020-10-03 06:11:42,2021-01-12 09:35:34,2021-01-12 09:34:53,,,,2.0,92.0,,,,copy of the Heimdall single-pulse detection code.,,,2.0,4,,,,,,3,,
32,DM_IGM,NihanPol/DM_IGM,,['python'],analysis,True,https://github.com/NihanPol/DM_IGM,https://github.com/NihanPol/DM_IGM,,2019-02-28 17:08:02,2019-08-15 14:01:19,2019-08-15 13:59:52,,,,1.0,21.0,2019-07-18 14:10:10,1.0.0,1.0,,,,4.0,4,,,,,,3,,
33,injectfrb,liamconnor/injectfrb,,['python'],Injection,True,https://github.com/liamconnor/injectfrb,https://github.com/liamconnor/injectfrb,,2019-02-25 10:14:02,2020-10-01 13:01:16,2020-10-01 13:01:11,1.0,2.0,,1.0,337.0,,,,Tools for simulating FRBs and injecting them into real data.,,,2.0,4,,,,,,3,,
34,joy-plotter,josephwkania/joy-plotter,,['python'],Visualization,True,https://github.com/josephwkania/joy-plotter,https://github.com/josephwkania/joy-plotter,GPL-3.0,2020-06-26 17:11:05,2020-09-06 05:20:02,2020-09-06 05:19:01,,,,,25.0,,,,,,,2.0,3,,,,,,1,,
35,visualizations,josephwkania/visualizations,,['python'],Visualization,True,https://github.com/josephwkania/visualizations,https://github.com/josephwkania/visualizations,,2020-11-22 03:08:03,2020-11-28 16:54:15,2020-11-28 16:47:53,,,,5.0,2.0,,,,Visualizations of pulsar + FRB data processing.,,,,2,,,,,,3,,
36,pydedisp,pravirkr/pydedisp,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/pravirkr/pydedisp,https://github.com/pravirkr/pydedisp,,2020-12-26 08:40:48,2021-01-19 15:37:40,2021-01-19 15:37:31,,,,1.0,13.0,,,,,,,,2,,,,,,3,,
