,name,github_id,pypi_id,labels,category,show,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,gitlab_id,gitlab_url,closed_issue_count
10,pygedm,FRBs/pygedm,,"['cpp', 'Fortran', 'python']",analysis,True,https://pygedm.readthedocs.io,17.0,17.0,10.0,https://github.com/FRBs/pygedm,,2019-02-17 13:02:21.000,2022-12-26 03:35:20,7,18.0,4.0,45.0,"Python bindings for YMW16, NE2001 and YT2020 electron density models.",,,,,,,,,3.0,,,,
11,AstroAccelerate,AstroAccelerateOrg/astro-accelerate,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/AstroAccelerateOrg/astro-accelerate,,,23.0,https://github.com/AstroAccelerateOrg/astro-accelerate,GPL-3.0,2013-02-27 12:04:06.000,2024-10-10 14:03:25,7,16.0,4.0,42.0,AstroAccelerate is a many-core accelerated software package for processing time-domain radio-astronomy data.,,,,,,,,,2.0,-7.0,,,
12,frbcat,davidgardenier/frbcat,,['python'],catalog,True,https://github.com/davidgardenier/frbcat,6.0,6.0,4.0,https://github.com/davidgardenier/frbcat,MIT,2020-02-19 15:03:56.000,2023-09-13 06:27:50,7,5.0,5.0,20.0,Query Fast Radio Burst catalogues.,,,,,,,,,2.0,,,,
13,burstfit,thepetabyteproject/burstfit,burstfit,['python'],analysis,True,https://github.com/thepetabyteproject/burstfit/,3.0,3.0,2.0,https://github.com/thepetabyteproject/burstfit,GPL-3.0,2021-01-20 15:40:20.000,2021-07-14 16:29:35,7,4.0,4.0,14.0,Spectro-temporal modeling of FRBs.,https://pypi.org/project/burstfit,2021-03-29 23:30:13.000,2021-03-29 23:30:13.000,0.1.0,1.0,,43.0,43.0,3.0,,,,
14,rfpipe,realfastvla/rfpipe,,['python'],Search,True,https://realfastvla.github.io/rfpipe/,5.0,5.0,11.0,https://github.com/realfastvla/rfpipe,BSD-3-Clause,2016-07-15 21:01:44.000,2022-10-31 21:33:46,7,5.0,18.0,10.0,Fast radio interferometric transient search pipeline.,,,,,,,,,2.0,,,,
15,IQRM,v-morello/iqrm,,['python'],rfi,True,https://github.com/v-morello/iqrm,8.0,8.0,3.0,https://github.com/v-morello/iqrm,MIT,2021-07-15 07:00:30.000,2025-04-09 18:10:45,7,5.0,1.0,8.0,A minimal implementation of the IQRM interference flagging algorithm for radio pulsar and transient searches.,,,,,,,,,1.0,,,,
16,FRBSTATS,HeRTA/FRBSTATS,,,catalog,True,https://www.herta-experiment.org/frbstats/,,,3.0,https://github.com/HeRTA/FRBSTATS,GPL-3.0,2021-02-10 14:45:29.000,2023-03-19 15:53:08,6,3.0,13.0,22.0,Repository for the FRBSTATS web platform.,,,,,,,,,3.0,,,,
17,sigpyproc3,FRBs/sigpyproc3,,"['python', 'cpp']",I/O,True,https://sigpyproc3.readthedocs.io,,,13.0,https://github.com/FRBs/sigpyproc3,MIT,2020-04-16 17:23:05.000,2025-04-02 14:58:09,6,10.0,7.0,17.0,Python3 version of Ewan Barrs sigpyproc library.,,,,,,,,,3.0,,,,
18,TransientX,ypmen/TransientX,,['cpp'],Search,True,https://github.com/ypmen/TransientX,,,1.0,https://github.com/ypmen/TransientX,GPL-3.0,2021-05-11 06:14:34.000,2024-04-12 07:36:15,5,6.0,2.0,27.0,Transient Search.,,,,,,,,,3.0,,,,
19,single_pulse_ml,liamconnor/single_pulse_ml,,['python'],ML,True,https://github.com/liamconnor/single_pulse_ml,,,30.0,https://github.com/liamconnor/single_pulse_ml,GPL-2.0,2017-05-02 12:17:52.000,2020-01-13 18:40:36,5,9.0,,17.0,,,,,,,,,,3.0,,,,
20,burst_search,kiyo-masui/burst_search,,"['python', 'C']",Search,True,https://github.com/kiyo-masui/burst_search,,,18.0,https://github.com/kiyo-masui/burst_search,GPL-2.0,2014-07-28 20:54:02.000,2018-04-10 22:34:32,5,7.0,1.0,10.0,Program to perform real-time and off-line searches for fast radio bursts in GBT GUPPI data.,,,,,,,,,3.0,,,,
21,PreFRBLE,FRBs/PreFRBLE,,['python'],popsynth,True,https://github.com/FRBs/PreFRBLE,,,3.0,https://github.com/FRBs/PreFRBLE,,2019-02-17 22:20:43.000,2020-10-16 10:10:17,5,,,6.0,PrEFRBLE: Probability Estimates for Fast Radio Burst to obtain model Likelihood Estimates.,,,,,,,,,1.0,2.0,,,
22,simpulse,kmsmith137/simpulse,,"['cpp', 'python']",Injection,True,https://github.com/kmsmith137/simpulse,,,6.0,https://github.com/kmsmith137/simpulse,,2016-06-08 17:18:15.000,2023-05-16 20:57:35,4,9.0,,14.0,C++/python library for simulating FRBs and pulsars.,,,,,,,,,1.0,,,,
23,astropath,FRBs/astropath,,['python'],analysis,True,https://github.com/FRBs/astropath,,,7.0,https://github.com/FRBs/astropath,BSD-3-Clause,2020-12-15 19:40:33.000,2025-07-13 01:35:49,4,2.0,2.0,13.0,,,,,,,,,,3.0,,,,
24,TPP-FRB121102,thepetabyteproject/FRB121102,,"['python', 'jupyter']",analysis,True,https://thepetabyteproject.github.io/FRB121102/,,,5.0,https://github.com/thepetabyteproject/FRB121102,GPL-3.0,2021-02-04 22:47:54.000,2021-08-16 21:56:56,4,,,12.0,Results and analysis scripts for FRB121102 burst analysis.,,,,,,,,,3.0,,,,
25,injectfrb,liamconnor/injectfrb,,['python'],Injection,True,https://github.com/liamconnor/injectfrb,,,4.0,https://github.com/liamconnor/injectfrb,,2024-04-27 16:59:07.369,2022-06-28 16:00:53,4,6.0,3.0,10.0,Tools for simulating FRBs and injecting them into real data.,,,,,,,,,1.0,,,,
