,name,github_id,pypi_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,gitlab_id,gitlab_url
22,dfdt,zpleunis/dfdt,,['python'],analysis,True,https://github.com/zpleunis/dfdt,https://github.com/zpleunis/dfdt,BSD-3-Clause,2020-09-18 01:48:08,2021-05-26 13:33:45,2021-05-26 13:33:45,,,,5.0,,,,,Linear drift rate measurements for fast radio bursts.,,,,7,,,,,,3,,,,
23,burstfit,thepetabyteproject/burstfit,burstfit,['python'],analysis,True,https://github.com/thepetabyteproject/burstfit/,https://github.com/thepetabyteproject/burstfit,GPL-3.0,2021-01-20 15:40:20,2021-04-25 05:17:25,2021-04-25 05:16:52,,3.0,3.0,5.0,,2021-03-29 23:30:13,0.1.0,1.0,Spectro-temporal modeling of FRBs.,,,2.0,7,https://pypi.org/project/burstfit,2021-03-29 23:30:13,,46.0,46.0,3,,,,
24,RFIm,TRASAL/RFIm,,['cpp'],rfi,True,https://github.com/TRASAL/RFIm,https://github.com/TRASAL/RFIm,Apache-2.0,2019-01-11 12:04:09,2020-11-17 13:05:51,2020-11-17 12:35:14,2.0,3.0,3.0,2.0,196.0,2020-07-29 12:27:29,1.0,1.0,Radio Frequency Interference (RFI) mitigation algorithms.,,,6.0,7,,,,,,2,,,,
25,astropath,FRBs/astropath,,['python'],analysis,True,https://github.com/FRBs/astropath,https://github.com/FRBs/astropath,BSD-3-Clause,2020-12-15 19:40:33,2021-06-14 15:52:28,2021-06-14 15:52:27,,,,7.0,,,,,,,,3.0,6,,,,,,3,,,,
26,frbpa,KshitijAggarwal/frbpa,,['python'],analysis,True,https://github.com/KshitijAggarwal/frbpa,https://github.com/KshitijAggarwal/frbpa,BSD-3-Clause,2020-05-26 21:36:21,2020-08-21 17:30:27,2020-08-21 17:30:26,2.0,2.0,1.0,5.0,53.0,,,,FRB Periodicity Analysis.,,,2.0,6,,,,,,3,,,,
27,radio_transients,josephwkania/radio_transients,,"['python', 'C', 'cpp', 'CUDA']",containers,True,https://github.com/josephwkania/radio_transients,https://github.com/josephwkania/radio_transients,GPL-3.0,2021-03-06 05:27:00,2021-06-22 03:40:33,2021-06-22 03:40:15,,,,4.0,24.0,,,,Singularity containers with common radio transient search software.,,,,6,,,,,,1,,,,
28,FRB hosts,FRBs/FRBhostpage,,"['HTML', 'JS']",catalog,True,https://frbhosts.org/,https://github.com/FRBs/FRBhostpage,,2020-03-27 14:12:50,2021-06-30 06:48:52,2020-09-23 09:53:23,1.0,,,,210.0,,,,Hosting for the FRB host webpage.,,,5.0,6,,,,,,3,,,,
29,PreFRBLE,FRBs/PreFRBLE,,['python'],popsynth,True,https://github.com/FRBs/PreFRBLE,https://github.com/FRBs/PreFRBLE,,2019-02-17 22:20:43,2020-10-16 10:10:17,2020-10-16 10:09:10,,,,6.0,167.0,2020-05-28 14:02:00,1.0,1.0,PrEFRBLE: Probability Estimates for Fast Radio Burst to obtain model Likelihood Estimates.,,,2.0,5,,,,,,3,,,,
30,Furby,vg2691994/Furby,,['python'],Injection,True,https://github.com/vg2691994/Furby,https://github.com/vivgastro/Furby,,2019-02-20 15:39:21,2021-05-18 15:55:26,2021-05-18 15:55:16,2.0,,,5.0,35.0,,,,Mock FRB generator.,,,2.0,5,,,,,,2,,vivgastro/Furby,,
31,visualizations,josephwkania/visualizations,,['python'],Visualization,True,https://github.com/josephwkania/visualizations,https://github.com/josephwkania/visualizations,,2020-11-22 03:08:03,2021-05-19 18:13:19,2021-05-19 18:11:23,,,,5.0,6.0,,,,Visualizations of pulsar + FRB data processing.,,,,5,,,,,,1,,,,
32,FRBSTATS,HeRTA/FRBSTATS,,,catalog,True,https://www.herta-experiment.org/frbstats/,https://github.com/HeRTA/FRBSTATS,GPL-3.0,2021-02-10 14:45:29,2021-07-01 11:28:30,2021-07-01 11:28:30,1.0,8.0,22.0,10.0,,,,,Repository for the FRBSTATS web platform.,,,2.0,4,,,,,,3,,,,
33,SPANDAK,gajjarv/PulsarSearch,,['python'],Search,True,https://github.com/gajjarv/PulsarSearch,https://github.com/gajjarv/PulsarSearch,,2016-09-12 18:12:17,2021-04-18 04:56:17,2021-04-18 04:56:07,5.0,,,4.0,137.0,,,,,,,2.0,4,,,,,,3,-1.0,,,
34,FRB.software,FRBs/FRBs.github.io,,[''],catalog,True,https://frb.software/,https://github.com/FRBs/FRBs.github.io,,2020-07-15 14:30:29,2020-07-28 12:55:19,2020-07-28 12:55:13,1.0,,,2.0,47.0,,,,FRB Community Software site.,,,4.0,4,,,,,,3,,,,
35,heimdall,pravirkr/heimdall,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/pravirkr/heimdall,https://github.com/pravirkr/heimdall,GPL-3.0,2020-10-03 06:11:42,2021-01-12 09:35:34,2021-01-12 09:34:53,,,,2.0,92.0,,,,copy of the Heimdall single-pulse detection code.,,,2.0,4,,,,,,3,,,,
36,DM_IGM,NihanPol/DM_IGM,,['python'],analysis,True,https://github.com/NihanPol/DM_IGM,https://github.com/NihanPol/DM_IGM,,2019-02-28 17:08:02,2019-08-15 14:01:19,2019-08-15 13:59:52,,,,1.0,21.0,2019-07-18 14:10:10,1.0.0,1.0,,,,4.0,4,,,,,,3,,,,
37,injectfrb,liamconnor/injectfrb,,['python'],Injection,True,https://github.com/liamconnor/injectfrb,https://github.com/liamconnor/injectfrb,,2019-02-25 10:14:02,2020-10-01 13:01:16,2020-10-01 13:01:11,1.0,2.0,,1.0,337.0,,,,Tools for simulating FRBs and injecting them into real data.,,,2.0,4,,,,,,3,,,,
38,burstpy,pravirkr/burstpy,,['python'],analysis,True,https://github.com/pravirkr/burstpy,https://github.com/pravirkr/burstpy,,2021-05-16 21:34:49,2021-06-07 09:01:17,2021-06-07 09:01:10,,,,2.0,,,,,Single Pulse Tools.,,,,3,,,,,,3,,,,
39,joy-plotter,josephwkania/joy-plotter,,['python'],Visualization,True,https://github.com/josephwkania/joy-plotter,https://github.com/josephwkania/joy-plotter,GPL-3.0,2020-06-26 17:11:05,2021-04-24 06:21:14,2021-04-24 06:21:04,,,,,27.0,,,,,,,2.0,3,,,,,,3,-1.0,,,
40,pydedisp,pravirkr/pydedisp,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/pravirkr/pydedisp,https://github.com/pravirkr/pydedisp,,2020-12-26 08:40:48,2021-04-22 12:39:51,2021-04-22 12:39:33,,,,2.0,14.0,,,,,,,,2,,,,,,3,,,,
41,iqrm_apollo,,,['cpp'],rfi,True,https://gitlab.com/kmrajwade/iqrm_apollo,,,2020-04-21 15:21:39,2020-04-21 15:21:39,,1.0,1.0,,1.0,,,,0.0,A standalone code to clean narrow-band RFI using Inter-Quartile Range Mitigation (IQRM) algorithm. The code works on..,,,,2,,,,,,3,,,kmrajwade/iqrm_apollo,https://gitlab.com/kmrajwade/iqrm_apollo
42,Filterbank Cleaner,,,['python'],rfi,True,https://gitlab.com/houben.ljm/fil_cleaner,,,2020-05-06 11:11:19,2020-05-06 11:11:19,,0.0,1.0,,,,,,0.0,,,,,1,,,,,,3,,,houben.ljm/fil_cleaner,https://gitlab.com/houben.ljm/fil_cleaner
43,Heimdall Candidate Plotter,,,['python'],Visualization,True,https://gitlab.com/houben.ljm/heim_cand_plotter,,,2019-04-24 12:07:26,2019-04-24 12:07:26,,1.0,1.0,,,,,,0.0,,,,,1,,,,,,3,,,houben.ljm/heim_cand_plotter,https://gitlab.com/houben.ljm/heim_cand_plotter
44,FRB Faker,,,['python'],Injection,True,https://gitlab.com/houben.ljm/frb-faker,,,2020-04-09 08:44:27,2020-04-09 08:44:27,,0.0,,,,,,,0.0,,,,,1,,,,,,3,,,houben.ljm/frb-faker,https://gitlab.com/houben.ljm/frb-faker
